2,12,2020,1,5,2400,紅包
1,3,2020,5,19,7999,ASUS Chromebox 3 CN65
1,3,2020,8,29,41900,Apple MacBook Pro 13" (Intel, 2020, A2289)
2,12,2021,2,11,3200,紅包
1,3,2021,7,28,17500,MSI CUBI 5 10M 060TW
1,3,2021,8,5,17440,SONY DSC-RX100M3
1,9,2021,12,9,571,原来这么拍：超越构图
1,9,2022,1,8,842,旅行摄影 旅行摄影2
2,12,2022,1,31,3600,紅包
2,12,2023,1,21,3600,紅包
2,12,2024,2,9,3600,紅包
1,3,2024,5,13,4568,Raspberry Pi 5 Model B 開發板 8GB 套組
1,3,2024,5,15,21591,Samsung Galaxy Tab S9 11" Wi-Fi 8+128 白
1,3,2024,6,6,5391,Samsung 27吋 1000R Odyssey G5 曲面電競顯示器
2,12,2025,1,28,3600,紅包
